step,price,realized_pnl,forced_exit,exit_reason
3651,105612.4609375,218.63808120932242,False,
3652,105482.0234375,218.63808120932242,False,
3653,105166.921875,218.63808120932242,False,
3654,105452.078125,218.63808120932242,False,
3655,105429.671875,218.63808120932242,False,
3686,104761.171875,149.01713382705367,True,stop_loss
3687,105033.296875,149.01713382705367,False,
3688,105298.2734375,149.01713382705367,False,
3689,105445.890625,149.01713382705367,False,
3690,105051.1015625,149.01713382705367,False,
3691,104951.5390625,149.01713382705367,False,
3713,103262.53125,-30.013007646979332,True,stop_loss
3714,103240.0390625,-30.013007646979332,False,
3715,103006.046875,-30.013007646979332,False,
3716,101914.7734375,-77.02355366958523,True,stop_loss
3717,100483.90625,-77.02355366958523,False,
3718,101542.8203125,-77.02355366958523,False,
3719,101502.609375,-77.02355366958523,False,
3720,101508.6796875,-77.02355366958523,False,
3721,101900.7734375,-77.02355366958523,False,
3725,102777.0,39.818859443695814,True,take_profit
3726,102954.2421875,39.818859443695814,False,
3727,103160.0,39.818859443695814,False,
3728,103150.4375,39.818859443695814,False,
3729,103510.25,39.818859443695814,False,
3730,103643.9765625,39.818859443695814,False,
3736,105092.28125,193.24378824796594,True,take_profit
3737,104758.2734375,193.24378824796594,False,
3738,104922.140625,193.24378824796594,False,
3739,104497.6875,193.24378824796594,False,
3740,104219.796875,193.24378824796594,False,
3741,104478.0703125,193.24378824796594,False,
3802,106612.5234375,367.6437829296883,True,take_profit
3803,107179.703125,367.6437829296883,False,
3804,107759.2109375,367.6437829296883,False,
3805,107750.390625,367.6437829296883,False,
3806,107026.46875,367.6437829296883,False,
3807,107610.328125,367.6437829296883,False,
3811,108446.1796875,445.7933925032322,True,take_profit
3812,108564.71875,445.7933925032322,False,
3813,108706.7421875,445.7933925032322,False,
3814,109973.75,445.7933925032322,False,
3815,110177.28125,498.424986337748,True,take_profit
3816,110263.0234375,498.424986337748,False,
3817,109913.90625,498.424986337748,False,
3818,109788.5703125,498.424986337748,False,
3819,109650.9375,498.424986337748,False,
3820,109568.0234375,498.424986337748,False,
3822,109310.4921875,442.1822462279477,True,stop_loss
3823,109502.6796875,442.1822462279477,False,
3824,109205.140625,442.1822462279477,False,
3825,109082.6484375,442.1822462279477,False,
3826,109508.78125,442.1822462279477,False,
3827,109303.609375,442.1822462279477,False,
3831,108620.0078125,370.74349561876846,True,stop_loss
3832,109015.421875,370.74349561876846,False,
3833,108720.609375,370.74349561876846,False,
3834,108711.3671875,370.74349561876846,False,
3835,109282.3828125,370.74349561876846,False,
3836,109526.296875,370.74349561876846,False,
3868,107860.046875,256.7668459086146,True,stop_loss
3869,107765.1171875,256.7668459086146,False,
3870,107746.90625,256.7668459086146,False,
3871,107909.0234375,256.7668459086146,False,
3872,107633.53125,256.7668459086146,False,
