step,price_BTC,price_ETH,capital,cash,drawdown,realized_pnl,unrealized_pnl,reward,weights,forced_exit,exit_reason
172,94027.8984375,3324.739990234375,9585.1632525382,8571.16588268503,0.06689519028113293,-328.0715224579816,-3.9731866760866916,-0.23164341441389433,"[np.float64(0.0), np.float64(0.10578822114319827)]",True,take_profit
173,94424.2421875,3340.300048828125,9586.787450191054,6987.35919647126,0.06673707647525579,-328.0715224579816,-0.7882231884029609,0.006429322732830119,"[np.float64(-0.05354785656324403), np.float64(0.2712272777303031)]",False,
174,94472.578125,3328.8701171875,9574.483377215487,5506.251251777358,0.06793486407366658,-328.0715224579816,-11.783118267572586,-0.1381439265887954,"[np.float64(-0.09330253724043931), np.float64(0.42512582302167445)]",False,
175,94095.03125,3316.2099609375,9567.604756095438,3980.4459715240546,0.06860449006565501,-328.0715224579816,-17.607278546383274,-0.08241714085314425,"[np.float64(-0.11335904888052496), np.float64(0.5830998472553502)]",False,
176,93221.59375,3288.7099609375,9546.67374376695,2368.3310970703888,0.07064210046011794,-291.19061774801867,-72.98334925160256,-0.22645352336747765,"[np.float64(0.0), np.float64(0.751920809212038)]",True,take_profit
177,93030.8671875,3309.909912109375,9589.438948561465,1039.2036016222896,0.06647895610555452,-291.19061774801867,-28.464012211285112,0.4098067566059162,"[np.float64(-0.0758467078786001), np.float64(0.8917441769388682)]",False,
178,93516.6171875,3318.10009765625,9597.0118425575,1024.5257249442568,0.06574174343373897,-304.7712585414535,-6.213241537217137,0.06882376153361047,"[np.float64(0.0), np.float64(0.8932453411799447)]",True,stop_loss
179,93462.4296875,3311.56005859375,9578.475072164116,710.0882831075714,0.06754627708173302,-304.7712585414535,-23.930042449038723,-0.20117658318477047,"[np.float64(-0.04617941158545627), np.float64(0.9259355230993854)]",False,
180,93465.2265625,3301.409912109375,9551.251147159242,710.0882831075714,0.07019649541314707,-304.7712585414535,-51.153967453912735,-0.28745618277253426,"[np.float64(-0.046312422596229585), np.float64(0.9257285747593379)]",False,
181,93421.9375,3296.199951171875,9537.154518944315,709.2797721108683,0.07156878623820781,-305.20073270502996,-64.44208467213672,-0.15719504552602395,"[np.float64(-0.019877183055969146), np.float64(0.9256338176373976)]",False,
182,91986.421875,3221.0400390625,9343.93923921793,617.2886791822843,0.09037807535241499,-296.7798710721087,-265.74805692019004,-0.979487289220396,"[np.float64(0.0), np.float64(0.9339369977288133)]",True,take_profit
183,92863.796875,3251.300048828125,9422.818431444695,1622.3024694763903,0.08269927513646219,-318.2928906900464,-163.80471478488792,0.6754803440895776,"[np.float64(-0.07417257636973679), np.float64(0.8279438383837971)]",False,
